epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1622.96,1.75751,2.48016,1.36482,1.65131,0,0.89611,0.90276,0.93988,0.50939,0.90355,0.89308,0.94011,0.50016,1.62005,2.0035,0.80362,1.52742,0,0.00599693,0.00199898,0.00599693,0.00199898,0.00599693,0.00199898,0.00599693,0.00199898
2,2406.46,1.547,1.92729,0.82403,1.44744,0,0.96287,0.95339,0.97262,0.57944,0.9614,0.95194,0.97172,0.57965,1.44524,1.73459,0.62679,1.43627,0,0.0119962,0.00399873,0.0119962,0.00399873,0.0119962,0.00399873,0.0119962,0.00399873
3,3123.84,1.49873,1.87429,0.82497,1.42464,0,0.96779,0.9463,0.97538,0.60577,0.97076,0.9492,0.97776,0.61401,1.3698,1.63716,0.63622,1.43155,0,0.0179925,0.0059975,0.0179925,0.0059975,0.0179925,0.0059975,0.0179925,0.0059975
4,3815.26,1.4857,1.87664,0.83894,1.42427,0,0.97119,0.96468,0.97856,0.59716,0.97249,0.96468,0.97937,0.60407,1.38238,1.63384,0.60167,1.39633,0,0.0239836,0.00799454,0.0239836,0.00799454,0.0239836,0.00799454,0.0239836,0.00799454
5,4486.4,1.50072,1.88535,0.86011,1.45139,0,0.97463,0.94772,0.97834,0.61906,0.96443,0.95743,0.97801,0.63108,1.29903,1.58193,0.63086,1.38746,0,0.0299674,0.00998912,0.0299674,0.00998912,0.0299674,0.00998912,0.0299674,0.00998912
6,5125.31,1.44748,1.84208,0.82366,1.41526,0,0.98001,0.95743,0.97849,0.63064,0.98203,0.95597,0.97905,0.63219,1.3089,1.58185,0.60952,1.36591,0,0.0299538,0.0099846,0.0299538,0.0099846,0.0299538,0.0099846,0.0299538,0.0099846
7,5767.05,1.3579,1.74128,0.75572,1.35731,0,0.98491,0.96855,0.98834,0.66932,0.9883,0.96952,0.98982,0.67287,1.16922,1.42702,0.55105,1.283,0,0.0299335,0.00997783,0.0299335,0.00997783,0.0299335,0.00997783,0.0299335,0.00997783
8,6419.42,1.26116,1.62204,0.68367,1.29361,0,0.99507,0.97747,0.99388,0.72832,0.99606,0.97843,0.99429,0.73077,1.02862,1.2678,0.45298,1.17527,0,0.0299095,0.00996983,0.0299095,0.00996983,0.0299095,0.00996983,0.0299095,0.00996983
9,7059.89,1.18951,1.54745,0.6411,1.24644,0,0.98572,0.985,0.99334,0.75175,0.98908,0.985,0.99377,0.74937,0.95121,1.20827,0.42705,1.13633,0,0.0298818,0.00996061,0.0298818,0.00996061,0.0298818,0.00996061,0.0298818,0.00996061
10,7770.02,1.1381,1.50116,0.61441,1.22101,0,0.99412,0.9809,0.9945,0.76662,0.9951,0.98187,0.99463,0.76724,0.90094,1.1231,0.40637,1.10188,0,0.0298505,0.00995017,0.0298505,0.00995017,0.0298505,0.00995017,0.0298505,0.00995017
11,8465.56,1.08468,1.43999,0.58328,1.18416,0,0.99775,0.985,0.99485,0.7855,0.99775,0.985,0.99485,0.78738,0.83675,1.07998,0.37587,1.07528,0,0.0298155,0.0099385,0.0298155,0.0099385,0.0298155,0.0099385,0.0298155,0.0099385
12,9123.85,1.04231,1.39725,0.56351,1.15878,0,0.99415,0.98676,0.99489,0.80348,0.99415,0.98676,0.99489,0.80052,0.78331,1.01232,0.36082,1.03076,0,0.0297769,0.00992562,0.0297769,0.00992562,0.0297769,0.00992562,0.0297769,0.00992562
13,9759.67,0.99642,1.33963,0.53441,1.12883,0,0.99845,0.985,0.99487,0.8096,0.99722,0.98549,0.99487,0.80368,0.75963,1.01128,0.34953,1.01897,0,0.0297346,0.00991152,0.0297346,0.00991152,0.0297346,0.00991152,0.0297346,0.00991152
14,10407.2,0.95617,1.29558,0.51136,1.10432,0,0.99951,0.98635,0.99491,0.82334,0.99951,0.98635,0.99491,0.81841,0.71892,0.94752,0.33512,0.99376,0,0.0296887,0.00989622,0.0296887,0.00989622,0.0296887,0.00989622,0.0296887,0.00989622
15,11040.2,0.93644,1.27627,0.50545,1.09577,0,0.9976,0.98549,0.99488,0.82943,0.9976,0.98549,0.99487,0.82417,0.69736,0.91522,0.31887,0.98211,0,0.0296391,0.0098797,0.0296391,0.0098797,0.0296391,0.0098797,0.0296391,0.0098797
16,11686.6,0.91095,1.24918,0.49401,1.0808,0,0.9958,0.99178,0.99496,0.84353,0.9958,0.99178,0.99496,0.83756,0.65346,0.87811,0.30428,0.95947,0,0.029586,0.00986199,0.029586,0.00986199,0.029586,0.00986199,0.029586,0.00986199
17,12336.4,0.88453,1.21013,0.47383,1.06848,0,0.99805,0.98981,0.99497,0.8494,0.99805,0.98981,0.99497,0.84075,0.63747,0.85281,0.29972,0.95341,0,0.0295292,0.00984307,0.0295292,0.00984307,0.0295292,0.00984307,0.0295292,0.00984307
