epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.544,1.88194,1.20687,1.56488,0.90722,0.87985,0.90404,0.39863,1.89061,0.91529,1.64325,0.000199727,0.000199727,0.080227
2,577.351,1.80537,1.01724,1.51924,0.90539,0.88424,0.91082,0.41171,1.89619,0.87639,1.67001,0.000399684,0.000399684,0.060427
3,839.45,1.78541,0.98127,1.50869,0.92213,0.92242,0.93486,0.42611,1.91493,0.82815,1.61712,0.000599467,0.000599467,0.0406268
4,1130.09,1.71154,0.92291,1.46899,0.92681,0.91284,0.9183,0.45839,1.84915,0.7681,1.59087,0.000798946,0.000798946,0.0208262
5,1581.87,1.66573,0.86499,1.43978,0.95043,0.86357,0.9129,0.45611,1.7731,0.86174,1.538,0.000997992,0.000997992,0.00102528
6,1882.82,1.6305,0.83223,1.41576,0.9326,0.92383,0.92324,0.42682,1.91224,0.73561,1.60514,0.000997288,0.000997288,0.000997288
7,2154.36,1.58143,0.79986,1.39273,0.94751,0.94582,0.95499,0.50304,1.68953,0.67969,1.48345,0.000996097,0.000996097,0.000996097
8,2414.81,1.523,0.75249,1.35363,0.97219,0.97097,0.97807,0.58705,1.47314,0.58353,1.35505,0.00099469,0.00099469,0.00099469
9,2688.46,1.49624,0.72841,1.34595,0.93304,0.92353,0.9383,0.48377,1.7536,0.7075,1.50879,0.000993068,0.000993068,0.000993068
10,2960.72,1.4668,0.71137,1.32268,0.97,0.96565,0.97821,0.5731,1.52642,0.59269,1.37694,0.000991232,0.000991232,0.000991232
11,3233.44,1.43596,0.70286,1.30848,0.98008,0.97612,0.98872,0.60746,1.37338,0.53684,1.32145,0.000989183,0.000989183,0.000989183
12,3501.63,1.40494,0.68376,1.29346,0.96892,0.96952,0.97826,0.62179,1.35935,0.54427,1.28963,0.000986922,0.000986922,0.000986922
13,3765.64,1.39328,0.6705,1.28273,0.97832,0.97629,0.98649,0.63895,1.29901,0.51297,1.25962,0.000984449,0.000984449,0.000984449
14,4039.05,1.35401,0.64819,1.26688,0.97946,0.97533,0.98535,0.64143,1.29043,0.50322,1.24635,0.000981765,0.000981765,0.000981765
15,4311.33,1.34674,0.6394,1.26727,0.98174,0.97291,0.98723,0.65172,1.25024,0.48759,1.22522,0.000978873,0.000978873,0.000978873
16,4581.82,1.31326,0.63108,1.24892,0.98111,0.97977,0.99177,0.66716,1.1807,0.47826,1.1924,0.000975773,0.000975773,0.000975773
17,4847.91,1.28815,0.62054,1.22825,0.98203,0.97839,0.99057,0.6794,1.15054,0.47669,1.18045,0.000972466,0.000972466,0.000972466
18,5108.4,1.27174,0.60403,1.22827,0.98827,0.97812,0.99182,0.67889,1.17882,0.47056,1.17884,0.000968955,0.000968955,0.000968955
19,5380.99,1.25971,0.59858,1.21813,0.98539,0.98113,0.99228,0.68417,1.17024,0.46654,1.17553,0.000965239,0.000965239,0.000965239
20,5653.9,1.23808,0.58743,1.20233,0.98713,0.97968,0.99331,0.69978,1.10471,0.44043,1.14127,0.000961322,0.000961322,0.000961322
21,5925.88,1.22636,0.58128,1.20248,0.98854,0.985,0.99422,0.69031,1.14122,0.44209,1.1511,0.000957205,0.000957205,0.000957205
22,6194.86,1.21155,0.57101,1.18853,0.9888,0.98307,0.99389,0.72402,1.03698,0.42261,1.09992,0.000952889,0.000952889,0.000952889
23,6456.59,1.19157,0.56438,1.17747,0.99027,0.98475,0.99424,0.70954,1.07782,0.42306,1.11344,0.000948377,0.000948377,0.000948377
24,6728.51,1.17134,0.54902,1.16919,0.99462,0.98405,0.99436,0.73774,0.98298,0.40417,1.07852,0.000943671,0.000943671,0.000943671
25,7000.77,1.16528,0.54771,1.16335,0.99367,0.98665,0.99477,0.72419,1.04086,0.41016,1.09102,0.000938772,0.000938772,0.000938772
26,7272.67,1.15042,0.54176,1.1551,0.98944,0.98452,0.99408,0.75314,0.93441,0.39595,1.06358,0.000933683,0.000933683,0.000933683
27,7541.88,1.14044,0.54166,1.15166,0.98932,0.98637,0.99433,0.74633,0.96028,0.3913,1.0607,0.000928405,0.000928405,0.000928405
28,7802.65,1.12242,0.52995,1.14232,0.9956,0.98471,0.99476,0.75433,0.94508,0.38136,1.05467,0.000922942,0.000922942,0.000922942
29,8075.22,1.11153,0.52567,1.13966,0.99503,0.98403,0.99466,0.75847,0.92038,0.37732,1.04178,0.000917296,0.000917296,0.000917296
30,8347.21,1.08768,0.51156,1.12261,0.99804,0.98669,0.99489,0.75708,0.92315,0.3719,1.03839,0.000911469,0.000911469,0.000911469
31,8618.27,1.07717,0.5057,1.12447,0.99727,0.98791,0.99493,0.76771,0.89409,0.36295,1.02532,0.000905463,0.000905463,0.000905463
32,8888.61,1.07012,0.50035,1.1155,0.99868,0.98645,0.99493,0.7753,0.87183,0.35269,1.01411,0.000899282,0.000899282,0.000899282
