epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,494.979,1.75055,1.41946,1.70497,0.93096,0.89792,0.93888,0.49106,1.6767,0.78588,1.62166,0.0059959,0.00199863,0.0059959,0.00199863,0.0059959,0.00199863,0.0059959,0.00199863
2,1069.88,1.47366,0.76338,1.44994,0.88429,0.61974,0.67714,0.29714,2.1845,2.02999,2.01919,0.0119952,0.00399839,0.0119952,0.00399839,0.0119952,0.00399839,0.0119952,0.00399839
3,1737.15,1.41823,0.75206,1.42229,0.95327,0.90803,0.96362,0.55994,1.48967,0.74135,1.49594,0.0179915,0.00599716,0.0179915,0.00599716,0.0179915,0.00599716,0.0179915,0.00599716
4,2378.77,1.40287,0.77104,1.42472,0.92766,0.90179,0.93923,0.48763,1.67815,0.7595,1.62144,0.0239826,0.0079942,0.0239826,0.0079942,0.0239826,0.0079942,0.0239826,0.0079942
5,3051.8,1.41121,0.79312,1.44594,0.95608,0.9479,0.96969,0.55028,1.53119,0.69073,1.54274,0.0299663,0.00998878,0.0299663,0.00998878,0.0299663,0.00998878,0.0299663,0.00998878
6,3696.7,1.39654,0.78799,1.44741,0.98435,0.96855,0.98628,0.6468,1.25123,0.56257,1.34596,0.0299538,0.0099846,0.0299538,0.0099846,0.0299538,0.0099846,0.0299538,0.0099846
7,4381.23,1.29708,0.71949,1.388,0.98108,0.97339,0.98978,0.64511,1.26188,0.53016,1.36167,0.0299335,0.00997783,0.0299335,0.00997783,0.0299335,0.00997783,0.0299335,0.00997783
8,5036.68,1.22079,0.65772,1.33697,0.98924,0.98549,0.9941,0.68833,1.12596,0.4702,1.25422,0.0299095,0.00996983,0.0299095,0.00996983,0.0299095,0.00996983,0.0299095,0.00996983
9,5690.28,1.1456,0.60881,1.28362,0.99628,0.97871,0.99459,0.70936,1.07097,0.46302,1.21617,0.0298818,0.00996061,0.0298818,0.00996061,0.0298818,0.00996061,0.0298818,0.00996061
10,6381.53,1.09876,0.58748,1.24974,0.99675,0.985,0.99471,0.73486,0.96975,0.41775,1.16394,0.0298505,0.00995017,0.0298505,0.00995017,0.0298505,0.00995017,0.0298505,0.00995017
11,7036.6,1.04747,0.55497,1.21642,0.9951,0.98266,0.99473,0.752,0.93276,0.40033,1.13089,0.0298155,0.0099385,0.0298155,0.0099385,0.0298155,0.0099385,0.0298155,0.0099385
12,7727.66,1.01349,0.53452,1.18911,0.99561,0.98736,0.99478,0.76101,0.89476,0.39044,1.12249,0.0297769,0.00992562,0.0297769,0.00992562,0.0297769,0.00992562,0.0297769,0.00992562
